Linux 4.18.0-477.15.1.el8_8.x86_64 (tbm04) 	08/09/2023 	_x86_64_	(32 CPU)

11:13:45 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
11:18:09 PM 502743688 500938044  24770384      4.70        24  10166244 146569972     27.35   2746144  14452908         0
11:18:11 PM 502740292 500934720  24773780      4.70        24  10166184 146569972     27.35   2746120  14457344         0
11:18:13 PM 502736972 500931372  24777100      4.70        24  10166184 146698756     27.37   2746120  14460896         0
11:18:15 PM 502713744 500908176  24800328      4.70        24  10166248 146827540     27.40   2746152  14482828         0
11:18:17 PM 502711000 500905452  24803072      4.70        24  10166232 146749436     27.38   2746104  14485996         0
11:18:19 PM 502707652 500902088  24806420      4.70        24  10166748 146813828     27.40   2746648  14489660         0
11:18:21 PM 502704212 500898684  24809860      4.70        24  10166184 146813828     27.40   2746148  14493544         0
11:18:23 PM 502699688 500894212  24814384      4.70        24  10166188 146924356     27.42   2746100  14496964         0
11:18:25 PM 502693452 500887980  24820620      4.71        24  10166308 146847508     27.40   2746132  14502428         0
11:18:27 PM 502659284 500853756  24854788      4.71        24  10185388 146847508     27.40   2746116  14537896         0
11:18:29 PM 502673104 500867592  24840968      4.71        24  10166188 146699464     27.37   2746132  14522380         0
11:18:31 PM 502670852 500865292  24843220      4.71        24  10166188 146751400     27.38   2746132  14526400         0
11:18:33 PM 502667376 500861864  24846696      4.71        24  10166188 146674544     27.37   2746124  14529620         0
11:18:35 PM 502663300 500857720  24850772      4.71        24  10166248 146674544     27.37   2746140  14533480         0
11:18:37 PM 502659492 500853924  24854580      4.71        24  10166188 146738936     27.38   2746148  14536900         0
11:18:39 PM 502655788 500850244  24858284      4.71        24  10166248 146738936     27.38   2746148  14540452         0
11:18:41 PM 502600112 500794612  24913960      4.72        24  10198956 146803328     27.39   2746116  14594912         0
11:18:43 PM 502595780 500790248  24918292      4.72        24  10198948 146727676     27.38   2746128  14599572         0
11:18:45 PM 502593120 500787596  24920952      4.72        24  10198968 146776504     27.39   2746136  14601788         0
11:18:47 PM 502570868 500765400  24943204      4.73        24  10199016 146840896     27.40   2746132  14625044         0
11:18:49 PM 502567092 500761712  24946980      4.73        24  10199016 146905288     27.41   2746140  14627848         0
11:18:51 PM 502523528 500718160  24990544      4.74        24  10218108 146888008     27.41   2760228  14657012         0
11:18:53 PM 502538628 500733320  24975444      4.73        24  10199016 146819480     27.40   2746136  14654772         0
11:18:55 PM 502520272 500715016  24993800      4.74        24  10199076 146755060     27.38   2746148  14674072         0
11:18:57 PM 502516768 500711552  24997304      4.74        24  10199288 146819452     27.40   2746108  14677008         0
11:18:59 PM 502494520 500689296  25019552      4.74        24  10198956 146883844     27.41   2746116  14699696         0
11:19:01 PM 502476624 500671412  25037448      4.75        24  10214076 146883844     27.41   2746108  14718408         0
11:19:03 PM 502457548 500652348  25056524      4.75        24  10212060 146808956     27.39   2746116  14737436         0
11:19:05 PM 502465548 500660356  25048524      4.75        24  10198956 146869864     27.41   2746116  14728944         0
11:19:07 PM 502442132 500636920  25071940      4.75        24  10218168 146998648     27.43   2746164  14752164         0
11:19:09 PM 502438220 500633056  25075852      4.75        24  10218108 146991376     27.43   2746108  14755236         0
11:19:11 PM 502436500 500631356  25077572      4.75        24  10218168 146912992     27.41   2746132  14757732         0
11:19:13 PM 502451680 500646552  25062392      4.75        24  10198956 146845960     27.40   2746124  14742960         0
11:19:15 PM 502448084 500642960  25065988      4.75        24  10198956 146845960     27.40   2746132  14745468         0
11:19:17 PM 502444260 500639144  25069812      4.75        24  10199460 146845960     27.40   2746628  14749304         0
11:19:19 PM 502441564 500636456  25072508      4.75        24  10199520 146845960     27.40   2746644  14752432         0
11:19:21 PM 502439836 500634752  25074236      4.75        24  10198960 146845960     27.40   2746116  14754392         0
11:19:23 PM 502436540 500631484  25077532      4.75        24  10199016 146860164     27.40   2746136  14757712         0
11:19:25 PM 502429428 500624408  25084644      4.76        24  10199016 146792900     27.39   2746136  14764880         0
11:19:27 PM 502410980 500605920  25103092      4.76        24  10213068 146857292     27.40   2746124  14783320         0
11:19:29 PM 502402664 500597616  25111408      4.76        24  10218232 146909260     27.41   2746148  14791156         0
11:19:31 PM 502419332 500614336  25094740      4.76        24  10198956 146828380     27.40   2746124  14775456         0
11:19:33 PM 502397096 500592148  25116976      4.76        24  10218048 146828380     27.40   2746116  14795988         0
11:19:35 PM 502414048 500609152  25100024      4.76        24  10198956 146828380     27.40   2746140  14780256         0
11:19:37 PM 502409900 500605004  25104172      4.76        24  10199076 146752736     27.38   2746172  14784060         0
11:19:39 PM 502406580 500601600  25107492      4.76        24  10199076 146660280     27.37   2746172  14787504         0
11:19:41 PM 502404488 500599420  25109584      4.76        24  10198956 146584640     27.35   2746116  14790232         0
11:19:43 PM 502398860 500593808  25115212      4.76        24  10199020 146713424     27.38   2746140  14794840         0
11:19:45 PM 502397668 500592628  25116404      4.76        24  10199016 146713424     27.38   2746148  14796304         0
11:19:47 PM 502394400 500589380  25119672      4.76        24  10199020 146711080     27.38   2746140  14799648         0
11:19:49 PM 502391836 500586824  25122236      4.76        24  10199520 146711080     27.38   2746560  14801728         0
11:19:51 PM 502389132 500584128  25124940      4.76        24  10198956 146775472     27.39   2746124  14804680         0
11:19:53 PM 502386380 500581444  25127692      4.76        24  10198904 146824120     27.40   2746092  14807276         0
11:19:55 PM 502382656 500577828  25131416      4.76        24  10198964 146952904     27.42   2746132  14810492         0
11:19:57 PM 502379544 500574736  25134528      4.76        24  10199024 146883504     27.41   2746132  14813048         0
11:19:59 PM 502378232 500573368  25135840      4.76        24  10198964 146869844     27.41   2746120  14815808         0
11:20:01 PM 502374776 500569964  25139296      4.77        24  10198964 146736540     27.38   2746116  14818844         0
11:20:03 PM 502371184 500566340  25142888      4.77        24  10198844 146731232     27.38   2746092  14822264         0
11:20:05 PM 502349284 500544460  25164788      4.77        24  10218116 146730708     27.38   2746140  14844800         0
11:20:07 PM 502364436 500559560  25149636      4.77        24  10198964 146574624     27.35   2746132  14828560         0
11:20:09 PM 502362340 500557420  25151732      4.77        24  10199024 146639016     27.36   2746152  14831504         0
11:20:11 PM 502358596 500553704  25155476      4.77        24  10199148 146624776     27.36   2746184  14834232         0
11:20:13 PM 502355852 500550964  25158220      4.77        24  10198964 146624776     27.36   2746144  14837464         0
11:20:15 PM 502353076 500548196  25160996      4.77        24  10199024 146624776     27.36   2746152  14840388         0
11:20:17 PM 502350064 500545228  25164008      4.77        24  10198972 146864016     27.41   2746128  14843540         0
11:20:19 PM 502347732 500542940  25166340      4.77        24  10198972 147057192     27.44   2746128  14846384         0
11:20:21 PM 502344700 500539896  25169372      4.77        24  10198912 146977944     27.43   2746112  14849124         0
11:20:23 PM 502341580 500536780  25172492      4.77        24  10198972 146844244     27.40   2746128  14851932         0
11:20:25 PM 502337712 500532900  25176360      4.77        24  10198972 146831192     27.40   2746136  14855536         0
11:20:27 PM 502335104 500530348  25178968      4.77        24  10199036 146895584     27.41   2746144  14857760         0
11:20:29 PM 502332232 500527568  25181840      4.77        24  10199052 146959976     27.42   2746228  14860796         0
11:20:31 PM 502329528 500524868  25184544      4.77        24  10199052 146894992     27.41   2746204  14864448         0
11:20:33 PM 502327924 500523240  25186148      4.77        24  10199052 146894992     27.41   2746228  14865108         0
11:20:35 PM 502325340 500520660  25188732      4.77        24  10199112 146894992     27.41   2746568  14867900         0
11:20:37 PM 502321844 500517208  25192228      4.78        24  10199112 146817308     27.40   2746236  14871820         0
11:20:39 PM 502318128 500513468  25195944      4.78        24  10199052 146946092     27.42   2746228  14875048         0
11:20:41 PM 502279700 500475024  25234372      4.78        24  10233828 146789464     27.39   2746212  14913320         0
11:20:43 PM 502312540 500507876  25201532      4.78        24  10199052 146789464     27.39   2746204  14880040         0
11:20:45 PM 502310540 500505816  25203532      4.78        24  10199052 146789464     27.39   2746204  14882244         0
11:20:47 PM 502308700 500504020  25205372      4.78        24  10199052 146789464     27.39   2746200  14885012         0
11:20:49 PM 502287800 500483184  25226272      4.78        24  10199052 146852032     27.40   2746224  14905124         0
11:20:51 PM 502265196 500460600  25248876      4.79        24  10199108 146838180     27.40   2746228  14926908         0
11:20:53 PM 502262592 500458060  25251480      4.79        24  10199052 146938428     27.42   2746208  14930328         0
11:20:55 PM 502257600 500453036  25256472      4.79        24  10199052 146860012     27.40   2746200  14933472         0
11:20:57 PM 502239204 500434680  25274868      4.79        24  10216692 146853444     27.40   2746192  14953500         0
11:20:59 PM 502254048 500449528  25260024      4.79        24  10199052 146917836     27.42   2746200  14938564         0
11:21:01 PM 502230976 500426504  25283096      4.79        24  10199112 146996408     27.43   2746264  14961032         0
11:21:03 PM 502286748 500482328  25227324      4.78        24  10199112 146996408     27.43   2746224  14905560         0
11:21:05 PM 502321996 500517568  25192076      4.78        24  10199112 146919556     27.42   2746240  14870576         0
11:21:07 PM 502317904 500513484  25196168      4.78        24  10199052 146983948     27.43   2746208  14873984         0
11:21:09 PM 502314788 500510396  25199284      4.78        24  10199112 146983948     27.43   2746248  14876816         0
11:21:11 PM 502308228 500503792  25205844      4.78        24  10199172 146835436     27.40   2746240  14885296         0
11:21:13 PM 502304724 500500220  25209348      4.78        24  10199112 146964220     27.42   2746224  14888072         0
11:21:15 PM 502302504 500498012  25211568      4.78        24  10199052 146964220     27.42   2746208  14890500         0
11:21:17 PM 502298472 500493944  25215600      4.78        24  10199172 146945340     27.42   2746248  14894304         0
11:21:19 PM 502294812 500490292  25219260      4.78        24  10199176 146944992     27.42   2746232  14897888         0
11:21:21 PM 502292440 500487940  25221632      4.78        24  10199112 146933108     27.42   2746232  14900260         0
11:21:23 PM 502289120 500484656  25224952      4.78        24  10199060 146975636     27.43   2746220  14903472         0
11:21:25 PM 502287008 500482600  25227064      4.78        24  10199120 146897484     27.41   2746236  14905160         0
11:21:27 PM 502284640 500480188  25229432      4.78        24  10198940 146961876     27.42   2746180  14908608         0
11:21:29 PM 502282552 500478200  25231520      4.78        24  10199124 146956440     27.42   2746228  14909672         0
11:21:31 PM 502280392 500476080  25233680      4.78        24  10199060 146943924     27.42   2746224  14911876         0
11:21:33 PM 502258884 500454616  25255188      4.79        24  10199124 146943924     27.42   2746232  14933948         0
11:21:35 PM 502256656 500452436  25257416      4.79        24  10199120 146943924     27.42   2746232  14936532         0
11:21:37 PM 502251540 500447348  25262532      4.79        24  10199120 147008316     27.43   2746240  14941088         0
