[1] NVIDIA A30 | 45°C,  ?? %,  96 % (E:   0 %  D:   0 %),  138 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 51°C,  ?? %,  97 % (E:   0 %  D:   0 %),  155 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 45°C,  ?? %,  96 % (E:   0 %  D:   0 %),  160 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 51°C,  ?? %,  96 % (E:   0 %  D:   0 %),  168 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 46°C,  ?? %,  96 % (E:   0 %  D:   0 %),  174 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 51°C,  ?? %,  97 % (E:   0 %  D:   0 %),  167 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 46°C,  ?? %,  96 % (E:   0 %  D:   0 %),  138 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 52°C,  ?? %,  96 % (E:   0 %  D:   0 %),  151 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 46°C,  ?? %,  96 % (E:   0 %  D:   0 %),  147 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 52°C,  ?? %,  96 % (E:   0 %  D:   0 %),  166 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 46°C,  ?? %,  97 % (E:   0 %  D:   0 %),  161 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 53°C,  ?? %,  97 % (E:   0 %  D:   0 %),  170 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 46°C,  ?? %,  96 % (E:   0 %  D:   0 %),  174 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 53°C,  ?? %,  96 % (E:   0 %  D:   0 %),  172 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 47°C,  ?? %,  96 % (E:   0 %  D:   0 %),  129 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 53°C,  ?? %,  96 % (E:   0 %  D:   0 %),  152 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 47°C,  ?? %,  97 % (E:   0 %  D:   0 %),  163 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 54°C,  ?? %,  97 % (E:   0 %  D:   0 %),  169 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 47°C,  ?? %,  96 % (E:   0 %  D:   0 %),  160 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 54°C,  ?? %,  95 % (E:   0 %  D:   0 %),  164 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 48°C,  ?? %,  96 % (E:   0 %  D:   0 %),  172 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 54°C,  ?? %,  96 % (E:   0 %  D:   0 %),  167 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 48°C,  ?? %,  97 % (E:   0 %  D:   0 %),  155 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 54°C,  ?? %,  97 % (E:   0 %  D:   0 %),  162 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 48°C,  ?? %,  96 % (E:   0 %  D:   0 %),  159 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 55°C,  ?? %,  96 % (E:   0 %  D:   0 %),  168 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 48°C,  ?? %,  96 % (E:   0 %  D:   0 %),  168 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 55°C,  ?? %,  97 % (E:   0 %  D:   0 %),  170 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 49°C,  ?? %,  97 % (E:   0 %  D:   0 %),  164 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 55°C,  ?? %,  96 % (E:   0 %  D:   0 %),  169 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 49°C,  ?? %,  97 % (E:   0 %  D:   0 %),  174 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 55°C,  ?? %,  96 % (E:   0 %  D:   0 %),  156 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 49°C,  ?? %,  96 % (E:   0 %  D:   0 %),  167 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 55°C,  ?? %,  97 % (E:   0 %  D:   0 %),  168 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 49°C,  ?? %,  97 % (E:   0 %  D:   0 %),  146 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 56°C,  ?? %,  96 % (E:   0 %  D:   0 %),  163 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 49°C,  ?? %,  96 % (E:   0 %  D:   0 %),  135 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 56°C,  ?? %,  96 % (E:   0 %  D:   0 %),  176 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 49°C,  ?? %,  96 % (E:   0 %  D:   0 %),  163 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 56°C,  ?? %,  95 % (E:   0 %  D:   0 %),  144 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 49°C,  ?? %,  96 % (E:   0 %  D:   0 %),  167 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 56°C,  ?? %,  96 % (E:   0 %  D:   0 %),  155 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 50°C,  ?? %,  97 % (E:   0 %  D:   0 %),  167 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 56°C,  ?? %,  96 % (E:   0 %  D:   0 %),  161 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 50°C,  ?? %,  96 % (E:   0 %  D:   0 %),  164 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 56°C,  ?? %,  96 % (E:   0 %  D:   0 %),  164 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 50°C,  ?? %,  96 % (E:   0 %  D:   0 %),  160 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 56°C,  ?? %,  97 % (E:   0 %  D:   0 %),  170 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 50°C,  ?? %,  97 % (E:   0 %  D:   0 %),  170 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 57°C,  ?? %,  97 % (E:   0 %  D:   0 %),  171 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 51°C,  ?? %,  96 % (E:   0 %  D:   0 %),  151 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 57°C,  ?? %,  96 % (E:   0 %  D:   0 %),  139 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 51°C,  ?? %,  97 % (E:   0 %  D:   0 %),  169 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 57°C,  ?? %,  96 % (E:   0 %  D:   0 %),  162 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 51°C,  ?? %,  96 % (E:   0 %  D:   0 %),  134 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 57°C,  ?? %,  96 % (E:   0 %  D:   0 %),  144 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 51°C,  ?? %,  96 % (E:   0 %  D:   0 %),  166 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 58°C,  ?? %,  97 % (E:   0 %  D:   0 %),  162 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 51°C,  ?? %,  96 % (E:   0 %  D:   0 %),  164 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 58°C,  ?? %,  96 % (E:   0 %  D:   0 %),  169 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 51°C,  ?? %,  96 % (E:   0 %  D:   0 %),  171 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 58°C,  ?? %,  96 % (E:   0 %  D:   0 %),  171 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 52°C,  ?? %,  98 % (E:   0 %  D:   0 %),  169 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 58°C,  ?? %,  97 % (E:   0 %  D:   0 %),  137 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 51°C,  ?? %,  96 % (E:   0 %  D:   0 %),  171 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 58°C,  ?? %,  96 % (E:   0 %  D:   0 %),  169 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 52°C,  ?? %,  96 % (E:   0 %  D:   0 %),  135 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 58°C,  ?? %,  96 % (E:   0 %  D:   0 %),  139 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 52°C,  ?? %,  96 % (E:   0 %  D:   0 %),  157 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 59°C,  ?? %,  96 % (E:   0 %  D:   0 %),  163 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 52°C,  ?? %,  97 % (E:   0 %  D:   0 %),  160 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 59°C,  ?? %,  96 % (E:   0 %  D:   0 %),  166 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 52°C,  ?? %,  96 % (E:   0 %  D:   0 %),  159 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 59°C,  ?? %,  97 % (E:   0 %  D:   0 %),  173 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 52°C,  ?? %,  96 % (E:   0 %  D:   0 %),  159 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 59°C,  ?? %,  96 % (E:   0 %  D:   0 %),  170 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 52°C,  ?? %,  96 % (E:   0 %  D:   0 %),  173 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 59°C,  ?? %,  96 % (E:   0 %  D:   0 %),  172 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 52°C,  ?? %,  97 % (E:   0 %  D:   0 %),  171 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 59°C,  ?? %,  96 % (E:   0 %  D:   0 %),  156 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
