Linux 4.18.0-477.15.1.el8_8.x86_64 (tbm03) 	08/10/2023 	_x86_64_	(32 CPU)

11:55:57 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:01:27 PM     all     11.11      0.00      1.69      0.00      0.00     87.20
12:01:29 PM     all     10.27      0.00      1.55      0.00      0.00     88.18
12:01:31 PM     all     10.06      0.00      1.35      0.00      0.00     88.59
12:01:33 PM     all     10.18      0.00      1.47      0.00      0.00     88.35
12:01:35 PM     all     10.15      0.00      1.55      0.00      0.00     88.30
12:01:37 PM     all     10.82      0.00      1.81      0.00      0.00     87.37
12:01:39 PM     all     10.00      0.00      1.44      0.00      0.00     88.56
12:01:41 PM     all     10.25      0.00      1.55      0.00      0.00     88.20
12:01:43 PM     all     10.23      0.00      1.63      0.00      0.00     88.14
12:01:45 PM     all      9.93      0.00      1.33      0.00      0.00     88.74
12:01:47 PM     all     11.00      0.00      1.69      0.00      0.00     87.31
12:01:49 PM     all     10.24      0.00      1.55      0.00      0.00     88.22
12:01:51 PM     all      9.96      0.00      1.17      0.00      0.00     88.86
12:01:53 PM     all     10.35      0.00      1.69      0.00      0.00     87.96
12:01:55 PM     all     10.11      0.00      1.56      0.00      0.00     88.32
12:01:57 PM     all     10.42      0.00      1.58      0.00      0.00     88.00
12:01:59 PM     all     10.66      0.00      1.42      0.00      0.00     87.92
12:02:01 PM     all     10.14      0.00      1.46      0.00      0.00     88.41
12:02:03 PM     all     10.34      0.00      1.66      0.00      0.00     88.00
12:02:05 PM     all     10.03      0.00      1.36      0.00      0.00     88.61
12:02:07 PM     all     10.33      0.00      1.69      0.00      0.00     87.98
12:02:09 PM     all     10.73      0.00      1.41      0.00      0.00     87.86
12:02:11 PM     all     10.07      0.00      1.34      0.00      0.00     88.59
12:02:13 PM     all     10.30      0.00      1.53      0.00      0.00     88.16
12:02:15 PM     all     10.17      0.00      1.50      0.00      0.00     88.33
12:02:17 PM     all     10.24      0.00      1.39      0.00      0.00     88.37
12:02:19 PM     all     10.18      0.00      1.42      0.00      0.00     88.40
12:02:21 PM     all     10.14      0.00      1.36      0.00      0.00     88.50
12:02:23 PM     all     10.42      0.00      1.64      0.00      0.00     87.94
12:02:25 PM     all      9.85      0.00      1.36      0.00      0.00     88.79
12:02:27 PM     all     10.56      0.00      1.64      0.00      0.00     87.80
12:02:29 PM     all     10.24      0.00      1.54      0.00      0.00     88.23
12:02:31 PM     all      9.83      0.00      1.31      0.00      0.00     88.85
12:02:33 PM     all     11.04      0.00      1.92      0.00      0.00     87.04
12:02:35 PM     all     10.04      0.00      1.42      0.00      0.00     88.54
12:02:37 PM     all     10.07      0.00      1.48      0.00      0.00     88.45
12:02:39 PM     all     10.30      0.00      1.58      0.00      0.00     88.12
12:02:41 PM     all     10.59      0.00      1.49      0.00      0.00     87.92
12:02:43 PM     all     10.44      0.00      1.68      0.00      0.00     87.88
12:02:45 PM     all      9.82      0.00      1.33      0.00      0.00     88.85
12:02:47 PM     all     10.34      0.00      1.52      0.00      0.00     88.14
12:02:49 PM     all     10.90      0.00      1.64      0.00      0.00     87.46
12:02:51 PM     all      9.82      0.00      1.27      0.00      0.00     88.91
12:02:53 PM     all     10.48      0.00      1.67      0.00      0.00     87.84
12:02:55 PM     all     10.08      0.00      1.38      0.00      0.00     88.54
12:02:57 PM     all     10.13      0.00      1.34      0.00      0.00     88.53
12:02:59 PM     all     10.48      0.00      1.91      0.00      0.00     87.61
12:03:01 PM     all     10.59      0.00      1.35      0.00      0.00     88.06
12:03:03 PM     all     10.26      0.00      1.64      0.00      0.00     88.10
12:03:05 PM     all     10.10      0.00      1.47      0.00      0.00     88.43
12:03:07 PM     all     10.15      0.00      1.47      0.00      0.00     88.38
12:03:09 PM     all     10.23      0.00      1.64      0.00      0.00     88.13
12:03:11 PM     all     10.02      0.00      1.36      0.00      0.00     88.62
12:03:13 PM     all     11.12      0.00      1.61      0.00      0.00     87.27
12:03:15 PM     all     10.18      0.00      1.47      0.00      0.00     88.36
12:03:17 PM     all      9.89      0.00      1.30      0.00      0.00     88.81
12:03:19 PM     all     10.31      0.00      1.80      0.00      0.00     87.89
12:03:21 PM     all     10.66      0.00      1.53      0.00      0.00     87.81
12:03:23 PM     all     10.16      0.00      1.49      0.00      0.00     88.36
12:03:25 PM     all     10.09      0.00      1.58      0.00      0.00     88.32
12:03:27 PM     all     11.10      0.00      1.63      0.00      0.00     87.27
12:03:29 PM     all     10.20      0.00      1.66      0.00      0.00     88.14
12:03:31 PM     all     10.06      0.00      1.52      0.00      0.00     88.42
12:03:33 PM     all     10.26      0.00      1.56      0.00      0.00     88.17
12:03:35 PM     all     10.16      0.00      1.60      0.00      0.00     88.24
12:03:37 PM     all     12.07      0.00      3.15      0.00      0.00     84.78
12:03:39 PM     all     11.37      0.00      2.65      0.00      0.00     85.98
12:03:41 PM     all     10.29      0.00      1.69      0.00      0.00     88.02
12:03:43 PM     all     10.13      0.00      1.17      0.00      0.00     88.70
12:03:45 PM     all     10.91      0.00      1.80      0.00      0.00     87.29
12:03:47 PM     all     10.22      0.00      1.77      0.00      0.00     88.01
12:03:49 PM     all     10.03      0.00      1.38      0.00      0.00     88.59
12:03:51 PM     all     10.40      0.00      1.78      0.00      0.00     87.82
12:03:53 PM     all     10.82      0.00      1.52      0.00      0.00     87.67
12:03:55 PM     all      9.92      0.00      1.30      0.00      0.00     88.78
12:03:57 PM     all     10.41      0.00      1.94      0.00      0.00     87.65
12:03:59 PM     all     10.16      0.00      1.49      0.00      0.00     88.36
12:04:01 PM     all     10.11      0.00      1.39      0.00      0.00     88.50
12:04:03 PM     all     10.75      0.00      1.64      0.00      0.00     87.61
12:04:05 PM     all     10.14      0.00      1.50      0.00      0.00     88.36
12:04:07 PM     all     10.22      0.00      1.52      0.00      0.00     88.26
12:04:09 PM     all     10.10      0.00      1.56      0.00      0.00     88.34
12:04:11 PM     all     10.12      0.00      1.60      0.00      0.00     88.29
12:04:13 PM     all     10.87      0.00      1.61      0.00      0.00     87.52
12:04:15 PM     all      9.94      0.00      1.21      0.00      0.00     88.85
12:04:17 PM     all     10.33      0.00      1.77      0.00      0.00     87.90
12:04:19 PM     all     10.22      0.00      1.50      0.00      0.00     88.28
12:04:21 PM     all     10.64      0.00      1.42      0.00      0.00     87.94
12:04:23 PM     all     10.38      0.00      1.52      0.00      0.00     88.10
12:04:25 PM     all     10.23      0.00      1.52      0.00      0.00     88.25
