[0] Tesla P100-PCIE-16GB | 51°C,  ?? %,  97 % (E:   0 %  D:   0 %),  177 / 250 W |  4000 / 16384 MB | jgong:python3.10/697568(3996M)
[1] Tesla P100-PCIE-16GB | 51°C,  ?? %,  97 % (E:   0 %  D:   0 %),  196 / 250 W |  4000 / 16384 MB | jgong:python3.10/697569(3996M)
[0] Tesla P100-PCIE-16GB | 52°C,  ?? %,  97 % (E:   0 %  D:   0 %),  188 / 250 W |  4000 / 16384 MB | jgong:python3.10/697568(3996M)
[1] Tesla P100-PCIE-16GB | 51°C,  ?? %,  97 % (E:   0 %  D:   0 %),  150 / 250 W |  4000 / 16384 MB | jgong:python3.10/697569(3996M)
[0] Tesla P100-PCIE-16GB | 52°C,  ?? %,  97 % (E:   0 %  D:   0 %),  138 / 250 W |  4000 / 16384 MB | jgong:python3.10/697568(3996M)
[1] Tesla P100-PCIE-16GB | 52°C,  ?? %,  97 % (E:   0 %  D:   0 %),  195 / 250 W |  4000 / 16384 MB | jgong:python3.10/697569(3996M)
[0] Tesla P100-PCIE-16GB | 52°C,  ?? %,  97 % (E:   0 %  D:   0 %),  198 / 250 W |  4000 / 16384 MB | jgong:python3.10/697568(3996M)
[1] Tesla P100-PCIE-16GB | 52°C,  ?? %,  97 % (E:   0 %  D:   0 %),  196 / 250 W |  4000 / 16384 MB | jgong:python3.10/697569(3996M)
[0] Tesla P100-PCIE-16GB | 52°C,  ?? %,  97 % (E:   0 %  D:   0 %),  190 / 250 W |  4000 / 16384 MB | jgong:python3.10/697568(3996M)
[1] Tesla P100-PCIE-16GB | 52°C,  ?? %,  97 % (E:   0 %  D:   0 %),  171 / 250 W |  4000 / 16384 MB | jgong:python3.10/697569(3996M)
[0] Tesla P100-PCIE-16GB | 53°C,  ?? %,  97 % (E:   0 %  D:   0 %),  177 / 250 W |  4000 / 16384 MB | jgong:python3.10/697568(3996M)
[1] Tesla P100-PCIE-16GB | 52°C,  ?? %,  97 % (E:   0 %  D:   0 %),  195 / 250 W |  4000 / 16384 MB | jgong:python3.10/697569(3996M)
[0] Tesla P100-PCIE-16GB | 53°C,  ?? %,  96 % (E:   0 %  D:   0 %),  190 / 250 W |  4000 / 16384 MB | jgong:python3.10/697568(3996M)
[1] Tesla P100-PCIE-16GB | 53°C,  ?? %,  97 % (E:   0 %  D:   0 %),  162 / 250 W |  4000 / 16384 MB | jgong:python3.10/697569(3996M)
