Linux 4.18.0-477.15.1.el8_8.x86_64 (tbm03) 	08/10/2023 	_x86_64_	(32 CPU)

11:55:57 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
12:00:23 PM 494347184 495445304  33166888      6.29        24  14232876  71833816     13.40   3558868  21474584         0
12:00:25 PM 494351016 495448796  33163056      6.29        24  14225080  71608048     13.36   3558592  21471244         0
12:00:27 PM 494306784 495404588  33207288      6.30        24  14262896  71583800     13.36   3558636  21514880         0
12:00:29 PM 494340288 495437852  33173784      6.29        24  14225064  71547304     13.35   3558240  21481568         0
12:00:31 PM 494335468 495432944  33178604      6.29        24  14225024  71638496     13.37   3558216  21486984         0
12:00:33 PM 494330496 495423948  33183576      6.29        24  14225668  71661012     13.37   3554148  21496068         0
12:00:35 PM 494325892 495417992  33188180      6.29        24  14219240  71730312     13.38   3552804  21500768         0
12:00:37 PM 494280016 495376540  33234056      6.30        24  14260888  71596964     13.36   3557112  21542196         0
12:00:39 PM 494314204 495410772  33199868      6.29        24  14223736  71499696     13.34   3557268  21509004         0
12:00:41 PM 494309980 495406548  33204092      6.29        24  14224080  71602012     13.36   3557260  21513772         0
12:00:43 PM 494297948 495394636  33216124      6.30        24  14225924  71611096     13.36   3557292  21524740         0
12:00:45 PM 494296888 495393456  33217184      6.30        24  14223908  71555816     13.35   3557256  21526420         0
12:00:47 PM 494252516 495349148  33261556      6.31        24  14261376  71493024     13.34   3557280  21570864         0
12:00:49 PM 494284624 495381184  33229448      6.30        24  14223904  71575372     13.36   3557256  21538572         0
12:00:51 PM 494277916 495374460  33236156      6.30        24  14224076  71333624     13.31   3557280  21545224         0
12:00:53 PM 494271320 495367800  33242752      6.30        24  14226424  71609892     13.36   3557264  21552436         0
12:00:55 PM 494267928 495364364  33246144      6.30        24  14223688  71697524     13.38   3557228  21555484         0
12:00:57 PM 494224812 495321352  33289260      6.31        24  14261320  71648484     13.37   3557208  21597752         0
12:00:59 PM 494256200 495352748  33257872      6.30        24  14223848  71396484     13.32   3557188  21566360         0
12:01:01 PM 494251692 495348052  33262380      6.31        24  14224020  71341444     13.31   3557200  21571780         0
12:01:03 PM 494245324 495341732  33268748      6.31        24  14223684  71481988     13.34   3557232  21577312         0
12:01:05 PM 494240464 495336928  33273608      6.31        24  14223672  71377028     13.32   3557200  21582272         0
12:01:07 PM 494197768 495294312  33316304      6.32        24  14261148  71422920     13.33   3557200  21624880         0
12:01:09 PM 494229876 495326440  33284196      6.31        24  14223676  71841212     13.41   3557204  21592560         0
12:01:11 PM 494225460 495322040  33288612      6.31        24  14224016  71649296     13.37   3557200  21597008         0
12:01:13 PM 494220556 495317192  33293516      6.31        24  14223676  71598268     13.36   3557224  21602364         0
12:01:15 PM 494215956 495312532  33298116      6.31        24  14223672  71687892     13.38   3557176  21607464         0
12:01:17 PM 494164664 495261360  33349408      6.32        24  14261488  71911512     13.42   3557172  21650748         0
12:01:19 PM 494204208 495300788  33309864      6.31        24  14224020  71649356     13.37   3557208  21619004         0
12:01:21 PM 494169780 495263536  33344292      6.32        24  14252192  71525036     13.35   3586404  21625228         0
12:01:23 PM 494194888 495288620  33319184      6.32        24  14221236  71710112     13.38   3554604  21631252         0
12:01:25 PM 494191504 495285252  33322568      6.32        24  14221404  71623312     13.37   3554588  21635260         0
12:01:27 PM 494147300 495241076  33366772      6.33        24  14258704  71781984     13.39   3554584  21678460         0
12:01:29 PM 494180812 495274576  33333260      6.32        24  14221068  71702712     13.38   3554596  21645048         0
12:01:31 PM 494140172 495233976  33373900      6.33        24  14258708  71539740     13.35   3554576  21686344         0
12:01:33 PM 494171160 495264888  33342912      6.32        24  14221352  71740016     13.39   3554540  21654868         0
12:01:35 PM 494167052 495260600  33347020      6.32        24  14221312  71721940     13.38   3554488  21659680         0
12:01:37 PM 494123528 495216940  33390544      6.33        24  14258516  71673804     13.37   3554428  21703496         0
12:01:39 PM 494155680 495249064  33358392      6.32        24  14220872  71613084     13.36   3554380  21670356         0
12:01:41 PM 494112632 495205960  33401440      6.33        24  14258492  71643716     13.37   3554396  21714572         0
12:01:43 PM 494146048 495239368  33368024      6.33        24  14221020  71929480     13.42   3554384  21681256         0
12:01:45 PM 494139864 495233196  33374208      6.33        24  14220844  71673708     13.37   3554372  21687372         0
12:01:47 PM 494099204 495192620  33414868      6.33        24  14258480  71686676     13.38   3554364  21728440         0
12:01:49 PM 494129320 495222688  33384752      6.33        24  14220656  71818144     13.40   3554344  21697328         0
12:01:51 PM 494087696 495181028  33426376      6.34        24  14258432  71754768     13.39   3554316  21739768         0
12:01:53 PM 494119728 495213052  33394344      6.33        24  14220964  71675024     13.37   3554336  21707484         0
12:01:55 PM 494116236 495209504  33397836      6.33        24  14220940  71506112     13.34   3554284  21711812         0
12:01:57 PM 494073084 495166320  33440988      6.34        24  14257876  71863212     13.41   3554340  21754432         0
12:01:59 PM 494104728 495197940  33409344      6.33        24  14221060  71702912     13.38   3554244  21723076         0
12:02:01 PM 494060784 495153960  33453288      6.34        24  14258344  71557272     13.35   3554236  21766496         0
