[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   28 / 165 W |     0 / 24576 MB |
[0] NVIDIA A30 | 46°C,  ?? %,   0 % (E:   0 %  D:   0 %),   55 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 45°C,  ?? %,   0 % (E:   0 %  D:   0 %),   55 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 44°C,  ?? %,   0 % (E:   0 %  D:   0 %),   35 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 48°C,  ?? %,  43 % (E:   0 %  D:   0 %),  168 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 48°C,  ?? %,  68 % (E:   0 %  D:   0 %),   55 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 45°C,  ?? %,   0 % (E:   0 %  D:   0 %),   55 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 47°C,  ?? %,   6 % (E:   0 %  D:   0 %),  121 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 46°C,  ?? %,  45 % (E:   0 %  D:   0 %),   55 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 45°C,  ?? %,   0 % (E:   0 %  D:   0 %),   55 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 43°C,  ?? %,   0 % (E:   0 %  D:   0 %),   34 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 47°C,  ?? %,  53 % (E:   0 %  D:   0 %),  137 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 46°C,  ?? %,  15 % (E:   0 %  D:   0 %),  125 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 44°C,  ?? %,   0 % (E:   0 %  D:   0 %),   54 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 43°C,  ?? %,   0 % (E:   0 %  D:   0 %),   34 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 47°C,  ?? %,  60 % (E:   0 %  D:   0 %),   67 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 45°C,  ?? %,   0 % (E:   0 %  D:   0 %),   54 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 44°C,  ?? %,   0 % (E:   0 %  D:   0 %),   49 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 46°C,  ?? %,  70 % (E:   0 %  D:   0 %),   89 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 45°C,  ?? %,   0 % (E:   0 %  D:   0 %),   55 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 43°C,  ?? %,   0 % (E:   0 %  D:   0 %),   34 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 46°C,  ?? %,  67 % (E:   0 %  D:   0 %),  114 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 45°C,  ?? %,  18 % (E:   0 %  D:   0 %),   55 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 46°C,  ?? %,  63 % (E:   0 %  D:   0 %),  121 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 47°C,  ?? %,  19 % (E:   0 %  D:   0 %),  169 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 45°C,  ?? %,   0 % (E:   0 %  D:   0 %),   55 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 43°C,  ?? %,   0 % (E:   0 %  D:   0 %),   34 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 47°C,  ?? %,  56 % (E:   0 %  D:   0 %),  156 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 45°C,  ?? %,   0 % (E:   0 %  D:   0 %),   54 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 43°C,  ?? %,   0 % (E:   0 %  D:   0 %),   34 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 45°C,  ?? %,  72 % (E:   0 %  D:   0 %),   98 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 46°C,  ?? %,  72 % (E:   0 %  D:   0 %),   88 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 45°C,  ?? %,   0 % (E:   0 %  D:   0 %),   54 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 43°C,  ?? %,   0 % (E:   0 %  D:   0 %),   35 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 46°C,  ?? %,  47 % (E:   0 %  D:   0 %),  171 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 46°C,  ?? %,  36 % (E:   0 %  D:   0 %),   56 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 44°C,  ?? %,   0 % (E:   0 %  D:   0 %),   39 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 46°C,  ?? %,  92 % (E:   0 %  D:   0 %),  145 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 47°C,  ?? %,  55 % (E:   0 %  D:   0 %),   67 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 44°C,  ?? %,   0 % (E:   0 %  D:   0 %),   54 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 43°C,  ?? %,   0 % (E:   0 %  D:   0 %),   35 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 46°C,  ?? %,  33 % (E:   0 %  D:   0 %),   80 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 47°C,  ?? %,  61 % (E:   0 %  D:   0 %),  122 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 44°C,  ?? %,   0 % (E:   0 %  D:   0 %),   54 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 45°C,  ?? %,  46 % (E:   0 %  D:   0 %),   67 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 47°C,  ?? %,  15 % (E:   0 %  D:   0 %),  123 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 47°C,  ?? %,  90 % (E:   0 %  D:   0 %),  112 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 47°C,  ?? %,  79 % (E:   0 %  D:   0 %),  162 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 45°C,  ?? %,   0 % (E:   0 %  D:   0 %),   54 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 45°C,  ?? %,  41 % (E:   0 %  D:   0 %),   60 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 44°C,  ?? %,   0 % (E:   0 %  D:   0 %),   54 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 47°C,  ?? %,  68 % (E:   0 %  D:   0 %),  106 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 46°C,  ?? %,  35 % (E:   0 %  D:   0 %),   59 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 45°C,  ?? %,   0 % (E:   0 %  D:   0 %),   54 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 45°C,  ?? %,  77 % (E:   0 %  D:   0 %),  110 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 44°C,  ?? %,   0 % (E:   0 %  D:   0 %),   54 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 47°C,  ?? %,  53 % (E:   0 %  D:   0 %),  126 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 44°C,  ?? %,   0 % (E:   0 %  D:   0 %),   54 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 45°C,  ?? %,  17 % (E:   0 %  D:   0 %),   55 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 47°C,  ?? %,  36 % (E:   0 %  D:   0 %),  118 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 44°C,  ?? %,   0 % (E:   0 %  D:   0 %),   54 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 47°C,  ?? %,  70 % (E:   0 %  D:   0 %),  181 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 45°C,  ?? %,  62 % (E:   0 %  D:   0 %),   55 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 44°C,  ?? %,   0 % (E:   0 %  D:   0 %),   54 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 46°C,  ?? %,  64 % (E:   0 %  D:   0 %),   56 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 44°C,  ?? %,   0 % (E:   0 %  D:   0 %),   54 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 45°C,  ?? %,  58 % (E:   0 %  D:   0 %),   55 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 48°C,  ?? %,  40 % (E:   0 %  D:   0 %),  144 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 45°C,  ?? %,   0 % (E:   0 %  D:   0 %),   55 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 47°C,  ?? %,  90 % (E:   0 %  D:   0 %),  142 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 46°C,  ?? %,  50 % (E:   0 %  D:   0 %),  121 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 47°C,  ?? %,  18 % (E:   0 %  D:   0 %),  172 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 47°C,  ?? %,  44 % (E:   0 %  D:   0 %),  167 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 48°C,  ?? %,  55 % (E:   0 %  D:   0 %),  118 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 44°C,  ?? %,   0 % (E:   0 %  D:   0 %),   35 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 44°C,  ?? %,   0 % (E:   0 %  D:   0 %),   55 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 47°C,  ?? %,  73 % (E:   0 %  D:   0 %),  163 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 47°C,  ?? %,   0 % (E:   0 %  D:   0 %),  108 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 44°C,  ?? %,   0 % (E:   0 %  D:   0 %),   54 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 47°C,  ?? %,  55 % (E:   0 %  D:   0 %),  166 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 45°C,  ?? %,   0 % (E:   0 %  D:   0 %),   55 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 44°C,  ?? %,   0 % (E:   0 %  D:   0 %),   54 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 47°C,  ?? %,  94 % (E:   0 %  D:   0 %),  171 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 46°C,  ?? %,  60 % (E:   0 %  D:   0 %),  182 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 44°C,  ?? %,   0 % (E:   0 %  D:   0 %),   54 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 45°C,  ?? %,  46 % (E:   0 %  D:   0 %),   86 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 46°C,  ?? %,  49 % (E:   0 %  D:   0 %),   55 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 47°C,  ?? %,  40 % (E:   0 %  D:   0 %),  113 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 45°C,  ?? %,   0 % (E:   0 %  D:   0 %),   72 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 46°C,  ?? %,  71 % (E:   0 %  D:   0 %),   71 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 47°C,  ?? %,   0 % (E:   0 %  D:   0 %),   86 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 47°C,  ?? %,   0 % (E:   0 %  D:   0 %),   55 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 46°C,  ?? %,  66 % (E:   0 %  D:   0 %),   55 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 45°C,  ?? %,   0 % (E:   0 %  D:   0 %),   54 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 47°C,  ?? %,  30 % (E:   0 %  D:   0 %),  168 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 46°C,  ?? %,  14 % (E:   0 %  D:   0 %),  153 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 45°C,  ?? %,   0 % (E:   0 %  D:   0 %),   55 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 46°C,  ?? %,  74 % (E:   0 %  D:   0 %),   94 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 48°C,  ?? %,  68 % (E:   0 %  D:   0 %),  112 / 165 W | 14401 / 24576 MB | jgong:python/509402(14382M)
[1] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
