Linux 4.18.0-477.15.1.el8_8.x86_64 (bhm06) 	08/10/2023 	_x86_64_	(56 CPU)

05:19:00 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:25:02 AM     all     10.00      0.00     37.91      0.00      0.00     52.09
05:25:04 AM     all     10.44      0.00     37.50      0.00      0.00     52.06
05:25:06 AM     all     10.48      0.00     38.85      0.00      0.00     50.67
05:25:08 AM     all     10.39      0.00     38.10      0.00      0.00     51.51
05:25:10 AM     all     10.41      0.00     37.79      0.00      0.00     51.80
05:25:12 AM     all     10.95      0.00     37.52      0.00      0.00     51.53
05:25:14 AM     all     10.20      0.00     37.78      0.00      0.00     52.02
05:25:16 AM     all     10.35      0.00     37.17      0.00      0.00     52.48
05:25:18 AM     all     10.85      0.00     37.62      0.00      0.00     51.53
05:25:20 AM     all     10.40      0.00     38.12      0.00      0.00     51.47
05:25:22 AM     all     10.62      0.00     36.78      0.00      0.00     52.60
05:25:24 AM     all     11.21      0.00     35.83      0.00      0.00     52.96
05:25:26 AM     all     10.42      0.00     38.01      0.00      0.00     51.57
05:25:28 AM     all     10.55      0.00     37.53      0.00      0.00     51.92
05:25:30 AM     all     10.77      0.00     37.61      0.00      0.00     51.61
05:25:32 AM     all     10.75      0.00     37.78      0.00      0.00     51.46
05:25:34 AM     all     10.54      0.00     37.94      0.00      0.00     51.52
05:25:36 AM     all     10.44      0.00     36.96      0.00      0.00     52.59
05:25:38 AM     all     10.66      0.00     37.35      0.00      0.00     51.99
05:25:40 AM     all     10.33      0.00     38.21      0.00      0.00     51.46
05:25:42 AM     all     10.79      0.00     36.68      0.00      0.00     52.54
05:25:44 AM     all     10.80      0.00     38.05      0.00      0.00     51.14
05:25:46 AM     all     10.81      0.00     37.06      0.00      0.00     52.13
05:25:48 AM     all     10.33      0.00     37.94      0.00      0.00     51.73
05:25:50 AM     all     10.91      0.00     37.40      0.00      0.00     51.69
05:25:52 AM     all     10.51      0.00     37.83      0.00      0.00     51.66
05:25:54 AM     all     10.31      0.00     38.34      0.00      0.00     51.35
05:25:56 AM     all     11.14      0.00     37.72      0.00      0.00     51.14
05:25:58 AM     all     10.79      0.00     37.60      0.00      0.00     51.61
05:26:00 AM     all     10.13      0.00     38.89      0.00      0.00     50.97
05:26:02 AM     all     10.29      0.00     36.44      0.00      0.00     53.27
05:26:04 AM     all     10.94      0.00     36.93      0.00      0.00     52.13
05:26:06 AM     all     10.55      0.00     37.39      0.00      0.00     52.06
05:26:08 AM     all     10.87      0.00     37.19      0.00      0.00     51.94
05:26:10 AM     all     10.61      0.00     38.26      0.00      0.00     51.14
05:26:12 AM     all     10.44      0.00     37.40      0.00      0.00     52.16
05:26:14 AM     all     10.63      0.00     38.14      0.00      0.00     51.23
05:26:16 AM     all     10.73      0.00     37.17      0.00      0.00     52.10
05:26:18 AM     all     10.41      0.00     38.18      0.00      0.00     51.41
05:26:20 AM     all     10.56      0.00     37.74      0.00      0.00     51.70
05:26:22 AM     all     11.01      0.00     36.63      0.00      0.00     52.36
05:26:24 AM     all     10.42      0.00     38.47      0.00      0.00     51.10
05:26:26 AM     all     10.21      0.00     38.92      0.00      0.00     50.86
05:26:28 AM     all     10.99      0.00     37.49      0.00      0.00     51.52
05:26:30 AM     all     10.36      0.00     38.12      0.00      0.00     51.52
05:26:32 AM     all     10.44      0.00     37.09      0.00      0.00     52.47
05:26:34 AM     all     10.29      0.00     38.43      0.00      0.00     51.28
05:26:36 AM     all     10.71      0.00     37.72      0.00      0.00     51.58
05:26:38 AM     all     10.48      0.00     37.71      0.00      0.00     51.81
05:26:40 AM     all     10.22      0.00     37.44      0.00      0.00     52.34
05:26:42 AM     all     10.79      0.00     37.02      0.00      0.00     52.20
05:26:44 AM     all     10.33      0.00     38.62      0.00      0.00     51.05
05:26:46 AM     all     10.10      0.00     38.01      0.00      0.00     51.88
05:26:48 AM     all     10.41      0.00     37.78      0.00      0.00     51.81
05:26:50 AM     all     10.54      0.00     36.52      0.00      0.00     52.94
05:26:52 AM     all     10.62      0.00     37.09      0.00      0.00     52.29
05:26:54 AM     all     10.38      0.00     38.12      0.00      0.00     51.50
05:26:56 AM     all     10.54      0.00     37.68      0.00      0.00     51.78
05:26:58 AM     all     10.57      0.00     37.82      0.00      0.00     51.61
05:27:00 AM     all     10.32      0.00     37.69      0.00      0.00     51.99
05:27:02 AM     all     10.28      0.00     38.67      0.00      0.00     51.05
05:27:04 AM     all     10.34      0.00     38.19      0.00      0.00     51.46
05:27:06 AM     all     10.35      0.00     38.45      0.00      0.00     51.20
05:27:08 AM     all     10.46      0.00     38.52      0.00      0.00     51.01
05:27:10 AM     all     10.69      0.00     38.54      0.00      0.00     50.77
05:27:12 AM     all     10.46      0.00     37.45      0.00      0.00     52.09
05:27:14 AM     all     10.19      0.00     38.81      0.00      0.00     51.00
05:27:16 AM     all     10.59      0.00     37.63      0.00      0.00     51.78
05:27:18 AM     all     10.26      0.00     37.44      0.00      0.00     52.30
05:27:20 AM     all     10.25      0.00     38.45      0.00      0.00     51.30
05:27:22 AM     all     10.41      0.00     38.46      0.00      0.00     51.13
05:27:24 AM     all     10.73      0.00     38.05      0.00      0.00     51.22
05:27:26 AM     all     10.43      0.00     38.40      0.00      0.00     51.16
